isbn,Cluster,rating
0001850121,2,8.0
0001981307,1,0.0
0002005018,2,9.0
0002005395,1,8.0
0002006502,0,0.0
0002211890,2,7.0
0002214067,2,10.0
0002233509,2,0.0
0002234947,0,0.0
0002237857,2,4.0
0002240009,0,0.0
0002240009,2,8.0
0002245663,2,0.0
0002251485,0,0.0
0002251485,2,3.5
0002251760,1,9.0
0002253402,1,6.0
0002256967,1,8.0
0002258560,1,7.0
0002258587,0,0.0
000225929X,2,0.0
0002261820,1,0.0
0002261820,2,8.5
0002310694,0,7.0
0002740230,1,7.0
0003701387,2,8.0
0006135889,0,0.0
0006170056,1,0.0
0006171982,0,0.0
0006176909,2,8.0
0006275192,2,0.0
0006377157,2,6.0
0006380158,2,8.0
0006386075,0,7.0
0006481078,1,8.0
0006485294,2,6.0
0006485936,2,4.25
000649613X,2,5.0
0006497993,1,7.0
0006497993,2,6.0
0006510973,1,7.0
0006511309,2,7.0
0006514588,0,7.0
0006543545,2,0.0
0006544959,0,0.0
0006545726,2,0.0
0006547168,1,4.0
0006548830,2,3.0
0006550576,2,6.0
0006550789,0,0.0
0006550789,1,6.5
0006550789,2,3.5
0006552390,0,8.0
0006754864,2,0.0
0006915612,2,8.0
0007107900,1,0.0
0007108648,0,0.0
0007110162,0,0.0
0007110928,0,9.0
0007110928,1,1.5
0007110928,2,3.6
0007111819,2,7.0
0007122039,0,5.0
0007122039,1,8.0
000712614X,2,8.0
0007128576,0,0.0
000713472X,1,0.0
000714346X,0,9.0
000714346X,2,8.0
000716131X,1,8.0
0020029101,2,0.0
002008823X,1,8.0
0020130902,0,7.0
0020198906,2,4.333333333333333
0020238207,2,8.0
002026478X,0,0.0
002026478X,1,8.0
002026478X,2,4.6
0020291922,1,0.0
0020306652,1,5.0
002031275X,2,9.0
0020360754,1,2.0
0020360754,2,8.0
0020418000,0,0.0
0020418205,2,9.0
0020418604,0,7.0
0020418809,0,10.0
0020418809,2,0.0
0020421907,2,8.0
0020427859,2,0.0
0020434901,2,8.0
0020435207,2,8.5
0020441509,2,0.0
0020442203,0,0.0
0020442203,1,5.666666666666667
0020442203,2,6.0
0020442300,0,0.0
