User_ID,Country,Age,Cluster
1,usa,59,2
2,usa,18,0
6,usa,61,2
9,usa,59,2
12,usa,59,2
14,usa,59,2
16,usa,59,2
20,usa,19,0
23,usa,59,2
25,usa,55,2
26,usa,59,2
27,usa,32,1
30,usa,24,0
33,usa,34,1
35,usa,17,0
40,usa,32,1
41,usa,14,0
42,usa,17,0
44,usa,51,2
48,usa,59,2
51,usa,34,1
54,usa,44,1
59,usa,23,0
61,usa,30,1
62,usa,59,2
63,usa,57,2
73,usa,59,2
75,usa,37,1
76,usa,59,2
81,usa,59,2
82,usa,59,2
84,usa,59,2
88,usa,59,2
89,usa,54,2
90,usa,42,1
93,usa,50,2
95,usa,59,2
97,usa,59,2
103,usa,53,2
104,usa,47,1
106,usa,59,2
108,usa,59,2
110,usa,59,2
113,usa,59,2
115,usa,59,2
116,usa,59,2
117,usa,57,2
119,usa,35,1
121,usa,59,2
122,usa,59,2
123,usa,24,0
124,usa,58,2
125,usa,49,2
128,usa,59,2
129,usa,47,1
131,usa,59,2
136,usa,59,2
138,usa,28,0
141,usa,59,2
142,usa,59,2
143,usa,26,0
144,usa,62,2
146,usa,59,2
147,usa,59,2
159,usa,59,2
167,usa,59,2
168,usa,44,1
169,usa,59,2
170,usa,59,2
173,usa,59,2
178,usa,28,0
184,usa,59,2
186,usa,59,2
187,usa,29,0
188,usa,17,0
192,usa,59,2
194,usa,59,2
195,usa,23,0
203,usa,59,2
207,usa,59,2
210,usa,54,2
213,usa,59,2
214,usa,27,0
217,usa,59,2
222,usa,59,2
225,usa,59,2
226,usa,59,2
228,usa,41,1
239,usa,59,2
241,usa,59,2
245,usa,31,1
256,usa,59,2
259,usa,45,1
260,usa,51,2
262,usa,28,0
263,usa,59,2
267,usa,29,0
273,usa,59,2
276,usa,59,2
278,usa,21,0
280,usa,59,2
283,usa,59,2
286,usa,17,0
287,usa,59,2
288,usa,19,0
289,usa,15,0
290,usa,59,2
292,usa,22,0
294,usa,59,2
295,usa,28,0
297,usa,27,0
298,usa,59,2
300,usa,59,2
301,usa,32,1
302,usa,53,2
303,usa,59,2
304,usa,24,0
305,usa,59,2
306,usa,59,2
317,usa,41,1
320,usa,37,1
327,usa,59,2
328,usa,33,1
332,usa,59,2
338,usa,59,2
343,usa,59,2
345,usa,27,0
348,usa,59,2
352,usa,28,0
358,usa,59,2
367,usa,45,1
368,usa,35,1
370,usa,59,2
378,usa,57,2
380,usa,59,2
381,usa,59,2
390,usa,48,2
391,usa,59,2
400,usa,59,2
403,usa,59,2
404,usa,37,1
411,usa,27,0
412,usa,59,2
414,usa,34,1
415,usa,59,2
416,usa,31,1
417,usa,59,2
418,usa,59,2
419,usa,14,0
421,usa,47,1
426,usa,59,2
428,usa,59,2
429,usa,25,0
434,usa,59,2
435,usa,59,2
439,usa,59,2
443,usa,47,1
445,usa,59,2
448,usa,22,0
449,usa,59,2
451,usa,33,1
452,usa,59,2
453,usa,59,2
456,usa,31,1
458,usa,17,0
459,usa,37,1
462,usa,18,0
465,usa,59,2
466,usa,59,2
467,usa,59,2
468,usa,59,2
469,usa,18,0
470,usa,0,0
474,usa,59,2
477,usa,45,1
478,usa,13,0
479,usa,59,2
480,usa,62,2
481,usa,59,2
482,usa,46,1
484,usa,17,0
485,usa,51,2
488,usa,25,0
490,usa,59,2
492,usa,60,2
495,usa,59,2
496,usa,51,2
497,usa,51,2
498,usa,29,0
502,usa,47,1
504,usa,29,0
509,usa,59,2
510,usa,59,2
511,usa,59,2
512,usa,58,2
513,usa,59,2
514,usa,30,1
515,usa,24,0
517,usa,22,0
520,usa,59,2
521,usa,59,2
523,usa,19,0
529,usa,28,0
531,usa,56,2
534,usa,59,2
539,usa,59,2
540,usa,67,2
541,usa,45,1
545,usa,59,2
547,usa,59,2
548,usa,59,2
549,usa,59,2
556,usa,31,1
557,usa,49,2
559,usa,59,2
560,usa,59,2
561,usa,35,1
563,usa,59,2
570,usa,59,2
588,usa,60,2
591,usa,42,1
592,usa,59,2
597,usa,43,1
599,usa,36,1
602,usa,23,0
604,usa,42,1
605,usa,59,2
606,usa,59,2
608,usa,30,1
612,usa,20,0
616,usa,34,1
627,usa,59,2
631,usa,59,2
632,usa,15,0
636,usa,59,2
641,usa,59,2
642,usa,37,1
644,usa,59,2
649,usa,59,2
650,usa,59,2
652,usa,59,2
655,usa,58,2
658,usa,61,2
677,usa,27,0
679,usa,65,2
680,usa,28,0
682,usa,44,1
684,usa,44,1
690,usa,80,2
692,usa,44,1
693,usa,58,2
694,usa,59,2
701,usa,31,1
702,usa,53,2
703,usa,52,2
704,usa,59,2
706,usa,59,2
708,usa,59,2
715,usa,59,2
718,usa,30,1
721,usa,59,2
722,usa,66,2
723,usa,59,2
724,usa,59,2
731,usa,59,2
737,usa,59,2
738,usa,59,2
740,usa,59,2
742,usa,59,2
744,usa,48,2
747,usa,59,2
749,usa,59,2
752,usa,59,2
756,usa,59,2
757,usa,29,0
760,usa,59,2
764,usa,28,0
765,usa,59,2
766,usa,52,2
769,usa,59,2
771,usa,38,1
778,usa,59,2
780,usa,59,2
783,usa,59,2
784,usa,39,1
785,usa,59,2
787,usa,59,2
788,usa,59,2
791,usa,59,2
792,usa,44,1
793,usa,59,2
794,usa,47,1
795,usa,59,2
796,usa,59,2
797,usa,59,2
798,usa,59,2
800,usa,59,2
801,usa,51,2
804,usa,38,1
806,usa,59,2
810,usa,59,2
813,usa,42,1
814,usa,59,2
817,usa,41,1
820,usa,38,1
823,usa,36,1
825,usa,38,1
826,usa,65,2
828,usa,35,1
829,usa,23,0
830,usa,57,2
836,usa,59,2
837,usa,26,0
838,usa,71,2
841,usa,24,0
844,usa,59,2
846,usa,55,2
858,usa,46,1
859,usa,59,2
861,usa,59,2
862,usa,56,2
865,usa,59,2
871,usa,19,0
874,usa,59,2
875,usa,32,1
879,usa,59,2
880,usa,59,2
883,usa,43,1
887,usa,30,1
888,usa,59,2
890,usa,59,2
892,usa,59,2
903,usa,19,0
904,usa,59,2
905,usa,59,2
907,usa,31,1
910,usa,25,0
911,usa,40,1
912,usa,33,1
917,usa,59,2
920,usa,28,0
923,usa,21,0
930,usa,30,1
931,usa,43,1
934,usa,59,2
